Query,K,Recall,ANN_Latency,ENN_Latency
fine-tuning BERT for text classification tasks,1,1.0,70.08,94820.97
fine-tuning BERT for text classification tasks,2,1.0,45.9,94820.97
fine-tuning BERT for text classification tasks,3,1.0,44.25,94820.97
fine-tuning BERT for text classification tasks,4,1.0,56.67,94820.97
fine-tuning BERT for text classification tasks,5,1.0,42.24,94820.97
fine-tuning BERT for text classification tasks,6,1.0,46.95,94820.97
fine-tuning BERT for text classification tasks,7,1.0,40.93,94820.97
fine-tuning BERT for text classification tasks,8,1.0,42.15,94820.97
fine-tuning BERT for text classification tasks,9,1.0,60.86,94820.97
fine-tuning BERT for text classification tasks,10,1.0,43.07,94820.97
fine-tuning BERT for text classification tasks,11,1.0,54.07,94820.97
fine-tuning BERT for text classification tasks,12,1.0,46.43,94820.97
fine-tuning BERT for text classification tasks,13,1.0,38.9,94820.97
fine-tuning BERT for text classification tasks,14,1.0,40.84,94820.97
fine-tuning BERT for text classification tasks,15,1.0,42.65,94820.97
large language models for abstractive text summarization,1,1.0,61.29,94368.0
large language models for abstractive text summarization,2,1.0,49.97,94368.0
large language models for abstractive text summarization,3,1.0,46.03,94368.0
large language models for abstractive text summarization,4,1.0,49.96,94368.0
large language models for abstractive text summarization,5,1.0,46.56,94368.0
large language models for abstractive text summarization,6,1.0,49.55,94368.0
large language models for abstractive text summarization,7,1.0,54.32,94368.0
large language models for abstractive text summarization,8,1.0,47.49,94368.0
large language models for abstractive text summarization,9,1.0,46.44,94368.0
large language models for abstractive text summarization,10,1.0,57.18,94368.0
large language models for abstractive text summarization,11,1.0,61.68,94368.0
large language models for abstractive text summarization,12,1.0,62.54,94368.0
large language models for abstractive text summarization,13,1.0,42.51,94368.0
large language models for abstractive text summarization,14,1.0,61.34,94368.0
large language models for abstractive text summarization,15,1.0,46.91,94368.0
aprendizaje automático para clasificación de texto,1,1.0,59.27,93917.85
aprendizaje automático para clasificación de texto,2,1.0,58.33,93917.85
aprendizaje automático para clasificación de texto,3,1.0,53.87,93917.85
aprendizaje automático para clasificación de texto,4,1.0,48.45,93917.85
aprendizaje automático para clasificación de texto,5,1.0,50.03,93917.85
aprendizaje automático para clasificación de texto,6,1.0,57.45,93917.85
aprendizaje automático para clasificación de texto,7,1.0,50.01,93917.85
aprendizaje automático para clasificación de texto,8,1.0,62.41,93917.85
aprendizaje automático para clasificación de texto,9,1.0,47.81,93917.85
aprendizaje automático para clasificación de texto,10,1.0,51.58,93917.85
aprendizaje automático para clasificación de texto,11,1.0,50.84,93917.85
