Query,Config,NDCG,Latency
impact of deep learning in medical imaging,ANN,0.6524638796978542,7431.16
impact of deep learning in medical imaging,ANN+Rerank,1.0,10071.0
impact of deep learning in medical imaging,Gold (ENN+Rerank),1.0,198000.89
attention mechanisms in transformer models,ANN,0.08385508279837632,23481.52
attention mechanisms in transformer models,ANN+Rerank,1.0,5808.31
attention mechanisms in transformer models,Gold (ENN+Rerank),1.0,384292.23
quantum error correction code efficiency,ANN,0.45301954780676074,9789.27
quantum error correction code efficiency,ANN+Rerank,1.0,45373.65
quantum error correction code efficiency,Gold (ENN+Rerank),1.0,384083.55
ethical implications of artificial intelligence in hiring,ANN,0.0,8591.21
ethical implications of artificial intelligence in hiring,ANN+Rerank,1.0,13892.85
ethical implications of artificial intelligence in hiring,Gold (ENN+Rerank),1.0,202982.08
bert vs roberta for sentiment analysis,ANN,0.3076890106657472,208331.87
bert vs roberta for sentiment analysis,ANN+Rerank,1.0,13131.48
bert vs roberta for sentiment analysis,Gold (ENN+Rerank),1.0,384618.64
