Query,Config,NDCG,Latency
fine-tuning BERT for text classification tasks,ANN,0.6327927861081318,8201.47
fine-tuning BERT for text classification tasks,ANN+Rerank,1.0,6014.59
fine-tuning BERT for text classification tasks,Gold (ENN+Rerank),1.0,393462.4
large language models for abstractive text summarization,ANN,0.4867636816216399,9211.66
large language models for abstractive text summarization,ANN+Rerank,1.0,8481.49
large language models for abstractive text summarization,Gold (ENN+Rerank),1.0,207354.98
aprendizaje automático para clasificación de texto,ANN,0.24972863463376738,10161.59
aprendizaje automático para clasificación de texto,ANN+Rerank,1.0,19364.82
aprendizaje automático para clasificación de texto,Gold (ENN+Rerank),1.0,230407.39
redes neuronales para procesamiento del lenguaje natural,ANN,0.4867636816216399,19445.07
redes neuronales para procesamiento del lenguaje natural,ANN+Rerank,1.0,13418.12
redes neuronales para procesamiento del lenguaje natural,Gold (ENN+Rerank),1.0,229577.98
knowledge graph embeddings for link prediction,ANN,0.7197082635996499,10349.35
knowledge graph embeddings for link prediction,ANN+Rerank,1.0,7453.31
knowledge graph embeddings for link prediction,Gold (ENN+Rerank),1.0,393852.43
sentiment analysis using deep learning,ANN,0.647270336837901,7727.29
sentiment analysis using deep learning,ANN+Rerank,1.0,6861.45
sentiment analysis using deep learning,Gold (ENN+Rerank),1.0,394259.59
deep learning,ANN,0.4890727925652813,6693.22
deep learning,ANN+Rerank,1.0,7214.31
deep learning,Gold (ENN+Rerank),1.0,195754.17
quantum computing error correction,ANN,0.6744942573441214,10216.08
quantum computing error correction,ANN+Rerank,1.0,21775.68
quantum computing error correction,Gold (ENN+Rerank),1.0,208838.04
attention,ANN,0.4525648641892451,16205.1
attention,ANN+Rerank,1.0,13550.99
attention,Gold (ENN+Rerank),1.0,394107.19
