Query,K,Recall,ANN_Latency,ENN_Latency
fine-tuning BERT for text classification tasks,1,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,2,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,3,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,4,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,5,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,6,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,7,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,8,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,9,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,10,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,11,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,12,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,13,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,14,1.0,117.87,94820.97
fine-tuning BERT for text classification tasks,15,1.0,117.87,94820.97
large language models for abstractive text summarization,1,1.0,120.62,94368.0
large language models for abstractive text summarization,2,1.0,120.62,94368.0
large language models for abstractive text summarization,3,1.0,120.62,94368.0
large language models for abstractive text summarization,4,1.0,120.62,94368.0
large language models for abstractive text summarization,5,1.0,120.62,94368.0
large language models for abstractive text summarization,6,1.0,120.62,94368.0
large language models for abstractive text summarization,7,1.0,120.62,94368.0
large language models for abstractive text summarization,8,1.0,120.62,94368.0
large language models for abstractive text summarization,9,1.0,120.62,94368.0
large language models for abstractive text summarization,10,1.0,120.62,94368.0
large language models for abstractive text summarization,11,1.0,120.62,94368.0
large language models for abstractive text summarization,12,1.0,120.62,94368.0
large language models for abstractive text summarization,13,1.0,120.62,94368.0
large language models for abstractive text summarization,14,1.0,120.62,94368.0
large language models for abstractive text summarization,15,1.0,120.62,94368.0
aprendizaje automático para clasificación de texto,1,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,2,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,3,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,4,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,5,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,6,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,7,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,8,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,9,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,10,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,11,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,12,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,13,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,14,1.0,169.14,93917.85
aprendizaje automático para clasificación de texto,15,1.0,169.14,93917.85
redes neuronales para procesamiento del lenguaje natural,1,1.0,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,2,1.0,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,3,0.6666666666666666,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,4,0.75,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,5,0.8,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,6,0.8333333333333334,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,7,0.8571428571428571,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,8,0.875,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,9,0.8888888888888888,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,10,0.8,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,11,0.8181818181818182,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,12,0.8333333333333334,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,13,0.8461538461538461,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,14,0.8571428571428571,142.15,93523.55
redes neuronales para procesamiento del lenguaje natural,15,0.8666666666666667,142.15,93523.55
knowledge graph embeddings for link prediction,1,1.0,104.07,94539.9
