label,query,k,retrieved_k,precision_at_k,scores,titles
Clear match – BERT fine-tuning,fine-tuning BERT for text classification tasks,5,5,1.0,"[0.72, 0.68, 0.65, 0.61, 0.54]","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding | Fine-Tuning Pretrained Language Models: Weight Initializations, Data Orders, and Early Stopping | How to Fine-Tune BERT for Text Classification? | Text Classification with Transformers | Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks"
Clear match – LLM summarization,large language models for abstractive text summarization,5,5,1.0,"[0.7, 0.66, 0.63, 0.58, 0.51]",Abstractive Text Summarization using Sequence-to-Sequence RNNs and Beyond | PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization | A Survey of the State of Explainable AI for NLP | BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation | T5: Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer
Clear match – Spanish query,aprendizaje automático para clasificación de texto,5,5,1.0,"[0.65, 0.61, 0.58, 0.52, 0.47]",Text Classification using Neural Networks | A Comparative Study of Machine Learning Methods for Text Classification | Deep Learning for Natural Language Processing | Multilingual BERT and Cross-lingual Transfer Learning | FastText: Bag of Tricks for Efficient Text Classification
Clear match – Spanish NLP,redes neuronales para procesamiento del lenguaje natural,5,5,1.0,"[0.68, 0.64, 0.6, 0.55, 0.49]",Neural Networks for Natural Language Processing | Recurrent Neural Network Based Language Model | Attention Is All You Need | A Survey on Deep Learning for Natural Language Processing | Word2Vec: Efficient Estimation of Word Representations in Vector Space
Clear match – knowledge graphs,knowledge graph embeddings for link prediction,5,5,1.0,"[0.71, 0.67, 0.63, 0.59, 0.52]",TransE: Translating Embeddings for Modeling Multi-relational Data | RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space | Knowledge Graph Embedding: A Survey of Approaches and Applications | Learning Entity and Relation Embeddings for Knowledge Graph Completion | ComplEx Embeddings for Simple Link Prediction
Clear match – sentiment analysis,sentiment analysis using deep learning,5,5,1.0,"[0.69, 0.65, 0.61, 0.57, 0.5]",Deep Learning for Sentiment Analysis: A Survey | Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank | Aspect-Based Sentiment Analysis with Gated Convolutional Networks | BERT for Sentiment Analysis | SemEval-2014 Task 4: Aspect Based Sentiment Analysis
Borderline – broad topic,deep learning,5,5,0.8,"[0.48, 0.45, 0.41, 0.38, 0.34]",Deep Learning | ImageNet Classification with Deep Convolutional Neural Networks | Deep Residual Learning for Image Recognition | Generative Adversarial Networks | An Introduction to Deep Learning
Weak match – unrelated domain,quantum computing error correction,5,5,0.0,"[0.28, 0.24, 0.21, 0.18, 0.15]",Quantum Error Correction: An Introductory Guide | Stabilizer Codes and Quantum Error Correction | Fault-Tolerant Quantum Computation | Surface Codes: Towards Practical Large-Scale Quantum Computation | Quantum Computing in the NISQ era and beyond
Weak match – very off-topic,history of the Roman Empire,5,5,0.0,"[0.12, 0.1, 0.08, 0.07, 0.06]",The Fall of the Roman Empire | Roman Military History | Augustus and the Roman Principate | The Roman Economy | Late Antiquity and the Transformation of Rome
Edge case – single word,attention,3,3,1.0,"[0.55, 0.5, 0.44]",Attention Is All You Need | Neural Machine Translation by Jointly Learning to Align and Translate | Self-Attention with Relative Position Representations
